fixture_id,date,home,away,predicted,actual,correct,confidence,home_odds,draw_odds,away_odds,p_home_comp,p_draw_comp,p_away_comp
1378179,2026-04-12,Genoa,Sassuolo,home,home,True,0.4446783849191186,2.15,3.3,3.5,0.4446783849191186,0.28754298815437523,0.26777862692650617
1378181,2026-04-12,Parma,Napoli,away,draw,False,0.7412852664576803,6.5,3.9,1.55,0.0157680250783699,0.2429467084639499,0.7412852664576803
1378175,2026-04-12,Bologna,Lecce,home,home,True,0.5349633146309883,1.85,3.25,4.5,0.5349633146309883,0.2874406560207165,0.17759602934829521
1378177,2026-04-12,Como,Inter,away,away,True,0.426686706746827,3.1,3.3,2.3,0.2875417501670007,0.28577154308617236,0.426686706746827
1378178,2026-04-13,Fiorentina,Lazio,home,home,True,0.39665872637764016,2.38,3.1,3.25,0.39665872637764016,0.30709067810068286,0.296250595521677
1378191,2026-04-17,Sassuolo,Como,away,home,False,0.7215789473684211,6.0,4.5,1.5,0.06789473684210526,0.21052631578947364,0.7215789473684211
1387956,2026-04-10,Paris FC,Monaco,away,home,False,0.4946257359125315,4.0,3.75,1.9,0.24969722455845245,0.255677039529016,0.4946257359125315
1387954,2026-04-10,Marseille,Metz,home,home,True,0.784674603424564,1.27,6.25,9.5,0.784674603424564,0.15199521274920477,0.06333018382623119
1387950,2026-04-11,Auxerre,Nantes,home,draw,False,0.4792355419734222,1.91,3.4,4.2,0.4792355419734222,0.2785803583831088,0.242184099643469
1387957,2026-04-11,Rennes,Angers,home,home,True,0.7812375533428164,1.33,5.0,9.5,0.7812375533428164,0.18918918918918917,0.02957325746799431
1387955,2026-04-12,Nice,Le Havre,home,draw,False,0.5238387978142077,1.85,3.3,4.5,0.5238387978142077,0.2843237704918033,0.19183743169398906
1387958,2026-04-12,Toulouse,Lille,away,away,True,0.5088700564971751,3.4,3.3,2.2,0.20299435028248586,0.288135593220339,0.5088700564971751
1387953,2026-04-12,Lyon,Lorient,home,home,True,0.5198490670038747,1.57,3.7,4.75,0.5198490670038747,0.24180082032326572,0.23835011267285966
